,Company,Rating,Job_Title,Location,Salary,Job_Description,URL
477,Plume,5,Machine Learning Engineer,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1626&ao=1091461&s=58&guid=0000017597c7afe88386f602b1faf71d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_75072885&cb=1604569248186&jobListingId=3694108188
478,AutoGrid Systems,3.1,Senior Data Scientist,"Redwood City, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1627&ao=4341&s=58&guid=0000017597c7afe88386f602b1faf71d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7d8335e7&cb=1604569248187&jobListingId=3304539776
479,Apple,4.2,"AI/ML - Machine Learning Scientist, Siri Understanding","Santa Clara, CA",134K-210K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1628&ao=191997&s=58&guid=0000017597c7afe88386f602b1faf71d&src=GD_JOB_AD&t=SR&vt=w&cs=1_d75ceb1b&cb=1604569248190&jobListingId=3047804988
480,Tempus Labs,3.4,"Machine Learning Scientist, Radiology","Redwood City, CA",105K-173K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1629&ao=8095&s=58&guid=0000017597c7afe88386f602b1faf71d&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_aba73cfb&cb=1604569248190&jobListingId=3719443388
481,Yochana,4.5,"""Data Engineer""","Fremont, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1630&ao=37049&s=58&guid=0000017597c7afe88386f602b1faf71d&src=GD_JOB_AD&t=SR&vt=w&cs=1_2de95338&cb=1604569248191&jobListingId=3688338621
482,Advanced Cell Diagnostics,4,"Data Scientist, Bioinformatics & Machine Learning","Newark, CA",72K-117K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1701&ao=209461&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_f8c1745b&cb=1604569256890&jobListingId=3709555379
483,Sciton Inc,4.7,Data Engineer,"Palo Alto, CA",66K-124K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1702&ao=453128&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_c0504e78&cb=1604569256892&jobListingId=3693837608
484,Cognizant Technology Solutions,3.7,Machine Learning Engineer,"Sunnyvale, CA",75K-133K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1703&ao=1091461&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_a9d318df&cb=1604569256893&jobListingId=3715370878
485,Pluto7,3.4,Senior Data Scientist,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1704&ao=37049&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_52f624b5&cb=1604569256893&jobListingId=3724545727
486,Mobileum,3.2,Senior Data Scientist,"Cupertino, CA",114K-183K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1705&ao=4120&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_2019ff0c&cb=1604569256897&jobListingId=3689838012
487,Snark AI,,Machine Learning Engineer,"Menlo Park, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1706&ao=1091461&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_ec999fce&cb=1604569256897&jobListingId=3663426691
488,Intuit,4.3,Group Manager - Data Science,"Mountain View, CA",128K-205K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1707&ao=1053778&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_f2ab047e&cb=1604569256897&jobListingId=3726421712
489,IntelliPro Group Inc.,4.2,Machine Learning Engineer,"Sunnyvale, CA",107K-174K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1708&ao=4341&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2c83c987&cb=1604569256897&jobListingId=3408788285
490,GENENTECH,4.1,Senior Engineer/Technical Development Scientist,"South San Francisco, CA",35K-210K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1709&ao=1044074&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_59f5a2af&cb=1604569256897&jobListingId=3723195660
491,Apple,4.2,Machine Learning Engineer - ML Platform,"Santa Clara, CA",134K-210K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1710&ao=191997&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_3eff0a33&cb=1604569256898&jobListingId=3558539544
492,Albertsons Companies,3.4,Senior Data Scientist,"Pleasanton, CA",96K-152K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1711&ao=839937&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_027abe4a&cb=1604569256898&jobListingId=3719639897
493,Intuit,4.2,Senior Machine Learning Engineer,"Mountain View, CA",132K-229K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1712&ao=1044074&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_fdcd069f&cb=1604569256899&jobListingId=3732304495
494,ADAPT TECHNOLOGY,5,Machine Learning Engineer,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1713&ao=1091461&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_894b665d&cb=1604569256900&jobListingId=3718992617
495,Seagen,4.1,Data Scientist Bioinformatics,"South San Francisco, CA",117K-184K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1714&ao=133796&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_d0853223&cb=1604569256900&jobListingId=3725214661
496,Safeway Inc,3.2,Senior Data Scientist,"Pleasanton, CA",116K-182K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1715&ao=839937&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_77e36353&cb=1604569256901&jobListingId=3719672900
497,Deepcell,,ML and Data Software Engineer,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1716&ao=1091461&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_afb48c0f&cb=1604569256901&jobListingId=3727348688
498,CyberCoders,4.2,Senior Data Scientist - Geneticist (REMOTE),"South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1717&ao=1044072&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f8c0dfff&cb=1604569256901&jobListingId=3733777865
499,Apple,4.2,"ISE, Proactive - Machine Learning Engineer","Santa Clara, CA",134K-210K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1718&ao=4120&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_41f0bf55&cb=1604569256902&jobListingId=3708960318
500,"Infinity Consulting Solutions, Inc.",3.5,Machine Learning Engineer,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1719&ao=1044074&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_8d6b94e9&cb=1604569256902&jobListingId=3724381787
501,JSR Micro,3.8,Data Scientist / Data Automation Engineer,"Sunnyvale, CA",110K-178K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1720&ao=1091454&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f85c08f7&cb=1604569256903&jobListingId=3688259778
502,Adobe,4.3,Search Machine Learning Engineer,"San Jose, CA",140K-238K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1721&ao=132917&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_1d7d3976&cb=1604569256903&jobListingId=3715251597
503,Yochana,4.5,Data Engineer,"Fremont, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1722&ao=37049&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_6df1268b&cb=1604569256904&jobListingId=3641602479
504,Bill.com,4.1,Senior Risk Data Analyst,"Palo Alto, CA",64K-121K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1723&ao=148364&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_d673dbbc&cb=1604569256904&jobListingId=3732579830
505,"nexus IT group, Inc.",,Machine Learning Engineer,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1724&ao=60007&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_1b16a991&cb=1604569256908&jobListingId=3683108298
506,Amazon,3.9,Sr. Applied Scientist- AWS AI,"East Palo Alto, CA",135K-210K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1725&ao=133043&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_872129ca&cb=1604569256904&jobListingId=3675015484
507,LIVE OBJECTS,,Backend Data Engineer,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1726&ao=1091461&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_d4b49444&cb=1604569256905&jobListingId=3663431552
508,McDonald's Corporate,3.5,"Data Scientist, ML Evaluation - McD Tech Labs","Mountain View, CA",85K-140K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1727&ao=1091461&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_23ae79fd&cb=1604569256905&jobListingId=3718152639
509,GRAIL,3.7,Market Analytics Manager,"Menlo Park, CA",86K-185K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1728&ao=286130&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_3088c90c&cb=1604569256906&jobListingId=3724901230
510,NVIDIA,4.8,"Research Scientist, Computer Graphics - Deep Learning","Santa Clara, CA",133K-227K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1729&ao=132938&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_c559bf7a&cb=1604569256907&jobListingId=3716096001
511,GSN Games,4.5,Principal Data Scientist,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1730&ao=397427&s=58&guid=0000017597c7d216a179e5ecdad65232&src=GD_JOB_AD&t=SR&vt=w&cs=1_6a72d30b&cb=1604569256907&jobListingId=3690538468
512,Robinhood,4.8,Senior Data Analyst,"Menlo Park, CA",117K-202K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1801&ao=136822&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_55738cee&cb=1604569266476&jobListingId=3701629341
513,BD,3.7,"Data Analyst, Digital Marketing","San Jose, CA",60K-109K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1802&ao=187657&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_373f3afd&cb=1604569266477&jobListingId=3709481054
514,Applied Intuition,4.7,Data Engineer,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1803&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_5264d3d2&cb=1604569266477&jobListingId=3663409860
515,Sigmaways,3.3,Data Analyst,"Sunnyvale, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1804&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_9a0dc500&cb=1604569266478&jobListingId=3723473425
516,Signature Consultants,3.8,Data Analyst,"Cupertino, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1805&ao=25073&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0f4b28b1&cb=1604569266479&jobListingId=3727813704
517,Exact Sciences Corporation,4.1,Senior Data Scientist I (Clinical),"Redwood City, CA",107K-169K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1806&ao=255644&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_70b58b22&cb=1604569266480&jobListingId=3713003581
518,Ursus,4.5,Data Engineer - Threat Analysis,"Menlo Park, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1807&ao=1044074&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_26eee9c9&cb=1604569266481&jobListingId=3690648065
519,Hippo Insurance,4.9,Insurance Analytics Manager,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1808&ao=8095&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6d430c5f&cb=1604569266483&jobListingId=3698235192
520,"Milestone Technologies, Inc.",3.6,GSO Data Analyst I,"Fremont, CA",69K-124K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1809&ao=1020558&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_1df12b07&cb=1604569266483&jobListingId=3723025445
521,"Amazon Data Services, Inc.",3.9,Data Engineer,"Sunnyvale, CA",100K-154K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1810&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_f673d500&cb=1604569266484&jobListingId=3732977881
522,Lucid Motors,3.8,Senior Data Scientist,"Newark, CA",115K-181K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1811&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_5781b304&cb=1604569266485&jobListingId=3663446878
523,Facebook,4.5,"Data Engineer, Analytics (Instagram Well Being)","Menlo Park, CA",118K-192K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1812&ao=1139178&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_5b4b9f72&cb=1604569266486&jobListingId=3700835070
524,Adobe,4.3,2021 Intern- Sensei Machine Learning Engineer,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1813&ao=132917&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_ba0151a5&cb=1604569266488&jobListingId=3715250792
525,Tesla,3.6,"Data Engineer, Cell Engineering","Palo Alto, CA",88K-163K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1814&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_9f5aec59&cb=1604569266488&jobListingId=3664091921
526,Fracta,4.3,Senior Data Scientist,"Redwood City, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1815&ao=148364&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_78088faa&cb=1604569266488&jobListingId=3684042038
527,Bimarian Information Technologies Pvt. Ltd..,,Data Analyst,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1816&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_bff48d22&cb=1604569266489&jobListingId=3721053231
528,Amgen,3.8,Senior Scientist: Data Analytics and Pharmacometric Modeling,"South San Francisco, CA",105K-171K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1817&ao=133096&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_c5bbfce0&cb=1604569266489&jobListingId=3642194261
529,Samsung Research America,3,Sr. Data Scientist,"Mountain View, CA",137K-218K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1818&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_48616526&cb=1604569266489&jobListingId=3681162029
530,Simple Solutions,,Sr Data Scientist with NLP,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1819&ao=4323&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_42c0529b&cb=1604569266491&jobListingId=3720315658
531,UnifyID,3.9,Machine Learning Engineer,"Redwood City, CA",114K-189K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1820&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_0e1ba015&cb=1604569266490&jobListingId=3681164156
532,Apple,4.2,"Apple One Business Data Scientist, Apple Media Products Data Science - Cupertino","Santa Clara, CA",115K-183K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1821&ao=191997&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_1e2f373e&cb=1604569266490&jobListingId=3690826354
533,Adobe,4.3,2021 Intern- Search Machine Learning Engineer,"San Jose, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1822&ao=132917&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_6801d234&cb=1604569266490&jobListingId=3715251514
534,Amazon,3.9,Applied Scientist - AWS AI,"East Palo Alto, CA",110K-174K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1823&ao=133043&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_a97065a5&cb=1604569266491&jobListingId=3546171009
535,KPI Partners,3.6,Data Modeler,"Newark, CA",113K-121K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1824&ao=4120&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_5849264b&cb=1604569266492&jobListingId=3474754002
536,TargetCW,4.7,Strategic Data Analyst,"Mountain View, CA",46K-86K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1825&ao=1044072&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0468b604&cb=1604569266492&jobListingId=3727517209
537,Freenome Holdings,5,Machine Learning Scientist,"South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1826&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_de7647f3&cb=1604569266493&jobListingId=3663467248
538,Tesla,3.6,Crash Sensing Data Engineer,"Fremont, CA",84K-157K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1827&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_bfa643f5&cb=1604569266493&jobListingId=3663448674
539,LVIS Corporation,,Machine Learning Engineer,"Palo Alto, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1828&ao=1091461&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_015ab3b0&cb=1604569266495&jobListingId=3663427464
540,Tekreliance LLC,3.5,BI Data Analyst,"San Jose, CA",46K-83K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1829&ao=4341&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_274b8718&cb=1604569266494&jobListingId=3644764300
541,Wealthfront,4.4,Data Engineer - Intern (Summer 2021),"Palo Alto, CA",103K-185K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1830&ao=148364&s=58&guid=0000017597c7f6d4b8d2dc0498be8f08&src=GD_JOB_AD&t=SR&vt=w&cs=1_838c84fa&cb=1604569266495&jobListingId=3708800139
542,"PDS Tech, Inc.",3.9,Data Analyst,"Cupertino, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1901&ao=1044072&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_6e7969b0&cb=1604569275344&jobListingId=3711472720
543,Tempus Labs,3.4,"Machine Learning Scientist - Bay Area, CA","Redwood City, CA",102K-144K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1902&ao=8095&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fc2ff259&cb=1604569275345&jobListingId=3253598151
544,Ascent Services Group,4.4,Discovery Scientist,"South San Francisco, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1903&ao=1044072&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_c7a06f20&cb=1604569275345&jobListingId=3708231833
545,NVIDIA,4.8,Senior Data Scientist,"Santa Clara, CA",186K-296K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1904&ao=132938&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_259f1635&cb=1604569275346&jobListingId=3641332083
546,WorldLink,3.1,Data Engineer with Network and cloud infrastructure,"Mountain View, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1905&ao=1091454&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d5263d27&cb=1604569275346&jobListingId=3731802108
547,Apple,4.2,"AI/ML - Machine Learning Engineer, ML Platform & Technology","Santa Clara, CA",134K-210K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1906&ao=191997&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_2f7bd277&cb=1604569275347&jobListingId=3690190764
548,Apple,4.2,Machine Learning Engineer - Segmentation and Depth Estimation (TDG),"Santa Clara, CA",122K-196K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1907&ao=191997&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_e6ad4f6e&cb=1604569275349&jobListingId=3698598278
549,McDonald's Corporate,3.5,"Data Scientist, Triage - McD Tech Labs","Mountain View, CA",76K-122K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1908&ao=1091461&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_2c1fbaa5&cb=1604569275350&jobListingId=3699200630
550,Cisco Systems,4.2,Principal Data Scientist,"San Jose, CA",125K-198K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1909&ao=1091461&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_19dd3108&cb=1604569275351&jobListingId=3681158975
551,"Knightscope, Inc.",2.9,Machine Learning Engineer,"Mountain View, CA",102K-177K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1910&ao=1091454&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2cd0c323&cb=1604569275351&jobListingId=3699586641
552,HopHR,,Lead Data Scientist | CA - Cupertino,"Cupertino, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1911&ao=148364&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_73c9ae5b&cb=1604569275354&jobListingId=3691554477
553,CareDx,2.4,Data Scientist-Operational Big Data,"Brisbane, CA",88K-141K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1912&ao=961471&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_e4936d07&cb=1604569275351&jobListingId=3708095419
554,Rose International,4.5,Data Analyst III/ Product Data Analyst,"Cupertino, CA",,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1913&ao=630024&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_f36d86a1&cb=1604569275351&jobListingId=3710797525
555,Apple,4.2,"AI/ML - Embedded Data Scientist, Siri Data","Santa Clara, CA",117K-186K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1914&ao=191997&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_85473b3a&cb=1604569275352&jobListingId=3560645481
556,Walmart,3.3,Principal Data Scientist - GEC (Merchant Data Science),"Sunnyvale, CA",193K-309K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1915&ao=133042&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_897dfcd0&cb=1604569275353&jobListingId=3720624799
557,Walmart,3.3,Senior Data Scientist - eComm - Personalization,"Sunnyvale, CA",122K-190K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1916&ao=133042&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_b5087fdb&cb=1604569275353&jobListingId=3705611708
558,California State University,4.1,Department of Applied Data Science Lecturer Pool,"San Jose, CA",80K-133K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1917&ao=1091461&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_ab6c5888&cb=1604569275355&jobListingId=3702986706
559,Zoom,3.7,Sr. Data Scientist - Machine Learning,"San Jose, CA",142K-227K,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=1918&ao=1091461&s=58&guid=0000017597c81a468d4551228860caee&src=GD_JOB_AD&t=SR&vt=w&cs=1_bc22805a&cb=1604569275355&jobListingId=3711519765
